#VISAR 1
#Offset shift       : 0
#Sensitivity        : -12.732
#Slit               : 5
#Interfr. & angle   : 39.79 0
#Intensity params   : 0 0 1
#Reflectivity       : 0 1
#Sweep Time         : Hamamatsu 0.02045 2.826e-06 -1.173e-105
#Time zero & delay  : 15 0
#Center & magnif.   : 572 0.821
#Jumps              : 4.58 3 1.46; 7.74 0 1.33;9.84 0 1.46
#Region (px)        : 652.227 728.779 12.2484 985.995
# Time       Velocity    ErrVel      Reflect     ErrRefl     Quality     Pixel       Shift       ErrShift    RefInt      ShotInt     RefContr    ShotContr.
-6.1464E-02 +0.0000E+00 +3.5777E-01 +8.7950E-01 +1.5188E-01 +8.5895E-01 +1.2000E+01 +0.0000E+00 +2.8100E-02 +1.5319E+04 +1.3473E+04 +6.2897E+03 +5.4026E+03 
-4.0979E-02 -1.4821E-02 +3.5656E-01 +8.8704E-01 +1.4972E-01 +8.6646E-01 +1.3000E+01 +1.1641E-03 +2.8005E-02 +1.5301E+04 +1.3573E+04 +6.3160E+03 +5.4726E+03 
-2.0491E-02 -2.0578E-02 +3.5427E-01 +8.9756E-01 +1.4701E-01 +8.7431E-01 +1.4000E+01 +1.6162E-03 +2.7825E-02 +1.5226E+04 +1.3666E+04 +6.3328E+03 +5.5368E+03 
+0.0000E+00 -1.7766E-02 +3.5136E-01 +9.0778E-01 +1.4422E-01 +8.8206E-01 +1.5000E+01 +1.3954E-03 +2.7596E-02 +1.5108E+04 +1.3714E+04 +6.3382E+03 +5.5906E+03 
+2.0494E-02 -7.1322E-03 +3.4812E-01 +9.1371E-01 +1.4161E-01 +8.8915E-01 +1.6000E+01 +5.6018E-04 +2.7342E-02 +1.4988E+04 +1.3695E+04 +6.3341E+03 +5.6320E+03 
+4.0990E-02 +1.0689E-02 +3.4464E-01 +9.1409E-01 +1.4015E-01 +8.9488E-01 +1.7000E+01 -8.3953E-04 +2.7069E-02 +1.4912E+04 +1.3631E+04 +6.3261E+03 +5.6611E+03 
+6.1490E-02 +3.5074E-02 +3.4082E-01 +9.1178E-01 +1.4054E-01 +8.9846E-01 +1.8000E+01 -2.7548E-03 +2.6768E-02 +1.4900E+04 +1.3585E+04 +6.3221E+03 +5.6801E+03 
+8.1992E-02 +6.4976E-02 +3.3649E-01 +9.1045E-01 +1.4260E-01 +8.9927E-01 +1.9000E+01 -5.1034E-03 +2.6429E-02 +1.4952E+04 +1.3613E+04 +6.3294E+03 +5.6918E+03 
+1.0250E-01 +9.8472E-02 +3.3167E-01 +9.1051E-01 +1.4483E-01 +8.9717E-01 +2.0000E+01 -7.7342E-03 +2.6050E-02 +1.5053E+04 +1.3706E+04 +6.3522E+03 +5.6989E+03 
+1.2301E-01 +1.3266E-01 +3.2658E-01 +9.0968E-01 +1.4537E-01 +8.9264E-01 +2.1000E+01 -1.0420E-02 +2.5650E-02 +1.5162E+04 +1.3793E+04 +6.3893E+03 +5.7033E+03 
+1.4352E-01 +1.6412E-01 +3.2162E-01 +9.0608E-01 +1.4420E-01 +8.8674E-01 +2.2000E+01 -1.2890E-02 +2.5261E-02 +1.5238E+04 +1.3806E+04 +6.4345E+03 +5.7057E+03 
+1.6403E-01 +1.8972E-01 +3.1724E-01 +8.9961E-01 +1.4303E-01 +8.8076E-01 +2.3000E+01 -1.4901E-02 +2.4917E-02 +1.5271E+04 +1.3738E+04 +6.4782E+03 +5.7057E+03 
+1.8455E-01 +2.0758E-01 +3.1383E-01 +8.9145E-01 +1.4266E-01 +8.7589E-01 +2.4000E+01 -1.6304E-02 +2.4649E-02 +1.5301E+04 +1.3640E+04 +6.5107E+03 +5.7026E+03 
+2.0507E-01 +2.1763E-01 +3.1158E-01 +8.8301E-01 +1.4216E-01 +8.7290E-01 +2.5000E+01 -1.7093E-02 +2.4472E-02 +1.5378E+04 +1.3579E+04 +6.5248E+03 +5.6955E+03 
+2.2559E-01 +2.2161E-01 +3.1049E-01 +8.7612E-01 +1.4119E-01 +8.7201E-01 +2.6000E+01 -1.7406E-02 +2.4386E-02 +1.5505E+04 +1.3584E+04 +6.5183E+03 +5.6840E+03 
+2.4611E-01 +2.2255E-01 +3.1038E-01 +8.7362E-01 +1.4056E-01 +8.7293E-01 +2.7000E+01 -1.7479E-02 +2.4378E-02 +1.5627E+04 +1.3652E+04 +6.4935E+03 +5.6683E+03 
+2.6664E-01 +2.2371E-01 +3.1103E-01 +8.7777E-01 +1.4143E-01 +8.7503E-01 +2.8000E+01 -1.7571E-02 +2.4429E-02 +1.5675E+04 +1.3759E+04 +6.4559E+03 +5.6491E+03 
+2.8717E-01 +2.2761E-01 +3.1226E-01 +8.8722E-01 +1.4490E-01 +8.7756E-01 +2.9000E+01 -1.7877E-02 +2.4525E-02 +1.5633E+04 +1.3870E+04 +6.4125E+03 +5.6274E+03 
+3.0770E-01 +2.3529E-01 +3.1403E-01 +8.9735E-01 +1.4971E-01 +8.7992E-01 +3.0000E+01 -1.8480E-02 +2.4665E-02 +1.5544E+04 +1.3949E+04 +6.3695E+03 +5.6047E+03 
+3.2824E-01 +2.4616E-01 +3.1645E-01 +9.0380E-01 +1.5208E-01 +8.8180E-01 +3.1000E+01 -1.9334E-02 +2.4854E-02 +1.5457E+04 +1.3970E+04 +6.3310E+03 +5.5827E+03 
+3.4878E-01 +2.5847E-01 +3.1962E-01 +9.0511E-01 +1.4994E-01 +8.8317E-01 +3.2000E+01 -2.0301E-02 +2.5103E-02 +1.5391E+04 +1.3930E+04 +6.2986E+03 +5.5627E+03 
+3.6932E-01 +2.7000E-01 +3.2349E-01 +9.0227E-01 +1.4530E-01 +8.8421E-01 +3.3000E+01 -2.1206E-02 +2.5408E-02 +1.5349E+04 +1.3849E+04 +6.2720E+03 +5.5457E+03 
+3.8987E-01 +2.7886E-01 +3.2776E-01 +8.9713E-01 +1.4115E-01 +8.8513E-01 +3.4000E+01 -2.1902E-02 +2.5743E-02 +1.5330E+04 +1.3753E+04 +6.2498E+03 +5.5319E+03 
+4.1041E-01 +2.8404E-01 +3.3189E-01 +8.9111E-01 +1.3845E-01 +8.8606E-01 +3.5000E+01 -2.2309E-02 +2.6067E-02 +1.5329E+04 +1.3660E+04 +6.2307E+03 +5.5208E+03 
+4.3096E-01 +2.8558E-01 +3.3532E-01 +8.8456E-01 +1.3664E-01 +8.8688E-01 +3.6000E+01 -2.2430E-02 +2.6337E-02 +1.5336E+04 +1.3566E+04 +6.2144E+03 +5.5114E+03 
+4.5152E-01 +2.8453E-01 +3.3764E-01 +8.7780E-01 +1.3564E-01 +8.8736E-01 +3.7000E+01 -2.2348E-02 +2.6519E-02 +1.5337E+04 +1.3462E+04 +6.2017E+03 +5.5031E+03 
+4.7207E-01 +2.8266E-01 +3.3865E-01 +8.7235E-01 +1.3721E-01 +8.8722E-01 +3.8000E+01 -2.2201E-02 +2.6598E-02 +1.5329E+04 +1.3372E+04 +6.1945E+03 +5.4958E+03 
+4.9263E-01 +2.8212E-01 +3.3829E-01 +8.6927E-01 +1.4277E-01 +8.8639E-01 +3.9000E+01 -2.2158E-02 +2.6570E-02 +1.5324E+04 +1.3321E+04 +6.1944E+03 +5.4907E+03 
+5.1319E-01 +2.8488E-01 +3.3655E-01 +8.6767E-01 +1.4950E-01 +8.8513E-01 +4.0000E+01 -2.2375E-02 +2.6433E-02 +1.5331E+04 +1.3303E+04 +6.2019E+03 +5.4895E+03 
+5.3376E-01 +2.9226E-01 +3.3340E-01 +8.6594E-01 +1.5332E-01 +8.8402E-01 +4.1000E+01 -2.2954E-02 +2.6186E-02 +1.5342E+04 +1.3285E+04 +6.2153E+03 +5.4945E+03 
+5.5432E-01 +3.0451E-01 +3.2892E-01 +8.6344E-01 +1.5421E-01 +8.8378E-01 +4.2000E+01 -2.3917E-02 +2.5834E-02 +1.5338E+04 +1.3243E+04 +6.2316E+03 +5.5074E+03 
+5.7489E-01 +3.2084E-01 +3.2333E-01 +8.6098E-01 +1.5434E-01 +8.8500E-01 +4.3000E+01 -2.5200E-02 +2.5395E-02 +1.5309E+04 +1.3181E+04 +6.2474E+03 +5.5289E+03 
+5.9547E-01 +3.3972E-01 +3.1712E-01 +8.6122E-01 +1.5416E-01 +8.8793E-01 +4.4000E+01 -2.6683E-02 +2.4907E-02 +1.5255E+04 +1.3138E+04 +6.2602E+03 +5.5586E+03 
+6.1604E-01 +3.5944E-01 +3.1092E-01 +8.6744E-01 +1.5331E-01 +8.9240E-01 +4.5000E+01 -2.8231E-02 +2.4420E-02 +1.5188E+04 +1.3175E+04 +6.2695E+03 +5.5949E+03 
+6.3662E-01 +3.7854E-01 +3.0540E-01 +8.8051E-01 +1.5254E-01 +8.9799E-01 +4.6000E+01 -2.9732E-02 +2.3987E-02 +1.5128E+04 +1.3320E+04 +6.2762E+03 +5.6360E+03 
+6.5720E-01 +3.9619E-01 +3.0104E-01 +8.9705E-01 +1.5313E-01 +9.0410E-01 +4.7000E+01 -3.1118E-02 +2.3644E-02 +1.5090E+04 +1.3537E+04 +6.2822E+03 +5.6797E+03 
+6.7779E-01 +4.1211E-01 +2.9794E-01 +9.1104E-01 +1.5511E-01 +9.1022E-01 +4.8000E+01 -3.2368E-02 +2.3401E-02 +1.5093E+04 +1.3750E+04 +6.2889E+03 +5.7243E+03 
+6.9837E-01 +4.2635E-01 +2.9586E-01 +9.1770E-01 +1.5660E-01 +9.1588E-01 +4.9000E+01 -3.3487E-02 +2.3238E-02 +1.5153E+04 +1.3906E+04 +6.2971E+03 +5.7674E+03 
+7.1896E-01 +4.3901E-01 +2.9436E-01 +9.1663E-01 +1.5557E-01 +9.2070E-01 +5.0000E+01 -3.4481E-02 +2.3120E-02 +1.5252E+04 +1.3980E+04 +6.3059E+03 +5.8058E+03 
+7.3956E-01 +4.4989E-01 +2.9310E-01 +9.1035E-01 +1.5201E-01 +9.2419E-01 +5.1000E+01 -3.5336E-02 +2.3021E-02 +1.5339E+04 +1.3964E+04 +6.3136E+03 +5.8349E+03 
+7.6015E-01 +4.5841E-01 +2.9204E-01 +9.0115E-01 +1.4844E-01 +9.2573E-01 +5.2000E+01 -3.6005E-02 +2.2937E-02 +1.5379E+04 +1.3859E+04 +6.3178E+03 +5.8486E+03 
+7.8075E-01 +4.6357E-01 +2.9145E-01 +8.9145E-01 +1.4730E-01 +9.2457E-01 +5.3000E+01 -3.6410E-02 +2.2891E-02 +1.5365E+04 +1.3697E+04 +6.3166E+03 +5.8402E+03 
+8.0135E-01 +4.6400E-01 +2.9176E-01 +8.8547E-01 +1.4852E-01 +9.2001E-01 +5.4000E+01 -3.6444E-02 +2.2916E-02 +1.5288E+04 +1.3537E+04 +6.3089E+03 +5.8043E+03 
+8.2196E-01 +4.5821E-01 +2.9339E-01 +8.8661E-01 +1.5049E-01 +9.1159E-01 +5.5000E+01 -3.5989E-02 +2.3043E-02 +1.5149E+04 +1.3431E+04 +6.2953E+03 +5.7387E+03 
+8.4256E-01 +4.4470E-01 +2.9650E-01 +8.9312E-01 +1.5192E-01 +8.9927E-01 +5.6000E+01 -3.4928E-02 +2.3288E-02 +1.4982E+04 +1.3381E+04 +6.2782E+03 +5.6458E+03 
+8.6317E-01 +4.2231E-01 +3.0100E-01 +8.9880E-01 +1.5254E-01 +8.8354E-01 +5.7000E+01 -3.3169E-02 +2.3641E-02 +1.4851E+04 +1.3348E+04 +6.2616E+03 +5.5324E+03 
+8.8379E-01 +3.9049E-01 +3.0649E-01 +8.9845E-01 +1.5176E-01 +8.6533E-01 +5.8000E+01 -3.0670E-02 +2.4073E-02 +1.4808E+04 +1.3304E+04 +6.2508E+03 +5.4090E+03 
+9.0440E-01 +3.4967E-01 +3.1251E-01 +8.9152E-01 +1.4959E-01 +8.4581E-01 +5.9000E+01 -2.7464E-02 +2.4545E-02 +1.4867E+04 +1.3254E+04 +6.2513E+03 +5.2874E+03 
+9.2502E-01 +3.0167E-01 +3.1864E-01 +8.8096E-01 +1.4847E-01 +8.2621E-01 +6.0000E+01 -2.3694E-02 +2.5027E-02 +1.5002E+04 +1.3216E+04 +6.2682E+03 +5.1788E+03 
+9.4564E-01 +2.4984E-01 +3.2466E-01 +8.7040E-01 +1.4943E-01 +8.0754E-01 +6.1000E+01 -1.9623E-02 +2.5499E-02 +1.5147E+04 +1.3184E+04 +6.3050E+03 +5.0916E+03 
+9.6626E-01 +1.9893E-01 +3.3028E-01 +8.6283E-01 +1.5052E-01 +7.9056E-01 +6.2000E+01 -1.5625E-02 +2.5941E-02 +1.5229E+04 +1.3140E+04 +6.3635E+03 +5.0307E+03 
+9.8689E-01 +1.5440E-01 +3.3509E-01 +8.5946E-01 +1.4991E-01 +7.7577E-01 +6.3000E+01 -1.2127E-02 +2.6319E-02 +1.5217E+04 +1.3079E+04 +6.4422E+03 +4.9976E+03 
+1.0075E+00 +1.2131E-01 +3.3847E-01 +8.5891E-01 +1.4833E-01 +7.6345E-01 +6.4000E+01 -9.5281E-03 +2.6584E-02 +1.5155E+04 +1.3017E+04 +6.5364E+03 +4.9902E+03 
+1.0282E+00 +1.0314E-01 +3.3987E-01 +8.5768E-01 +1.4784E-01 +7.5382E-01 +6.5000E+01 -8.1007E-03 +2.6694E-02 +1.5126E+04 +1.2973E+04 +6.6382E+03 +5.0040E+03 
+1.0488E+00 +1.0086E-01 +3.3910E-01 +8.5239E-01 +1.4690E-01 +7.4706E-01 +6.6000E+01 -7.9221E-03 +2.6634E-02 +1.5194E+04 +1.2951E+04 +6.7377E+03 +5.0335E+03 
+1.0694E+00 +1.1274E-01 +3.3651E-01 +8.4274E-01 +1.4263E-01 +7.4329E-01 +6.7000E+01 -8.8547E-03 +2.6430E-02 +1.5346E+04 +1.2933E+04 +6.8245E+03 +5.0726E+03 
+1.0901E+00 +1.3467E-01 +3.3286E-01 +8.3228E-01 +1.3673E-01 +7.4250E-01 +6.8000E+01 -1.0577E-02 +2.6144E-02 +1.5497E+04 +1.2898E+04 +6.8898E+03 +5.1157E+03 
+1.1107E+00 +1.6114E-01 +3.2907E-01 +8.2550E-01 +1.3248E-01 +7.4448E-01 +6.9000E+01 -1.2656E-02 +2.5846E-02 +1.5558E+04 +1.2843E+04 +6.9281E+03 +5.1579E+03 
+1.1314E+00 +1.8647E-01 +3.2592E-01 +8.2452E-01 +1.3013E-01 +7.4880E-01 +7.0000E+01 -1.4646E-02 +2.5599E-02 +1.5514E+04 +1.2792E+04 +6.9383E+03 +5.1954E+03 
+1.1520E+00 +2.0606E-01 +3.2381E-01 +8.2850E-01 +1.2910E-01 +7.5481E-01 +7.1000E+01 -1.6184E-02 +2.5433E-02 +1.5429E+04 +1.2783E+04 +6.9227E+03 +5.2253E+03 
+1.1727E+00 +2.1756E-01 +3.2277E-01 +8.3539E-01 +1.2984E-01 +7.6175E-01 +7.2000E+01 -1.7088E-02 +2.5351E-02 +1.5371E+04 +1.2841E+04 +6.8865E+03 +5.2458E+03 
+1.1933E+00 +2.2153E-01 +3.2247E-01 +8.4282E-01 +1.3064E-01 +7.6887E-01 +7.3000E+01 -1.7400E-02 +2.5327E-02 +1.5367E+04 +1.2952E+04 +6.8360E+03 +5.2560E+03 
+1.2140E+00 +2.2131E-01 +3.2235E-01 +8.4739E-01 +1.3008E-01 +7.7559E-01 +7.4000E+01 -1.7382E-02 +2.5318E-02 +1.5409E+04 +1.3057E+04 +6.7774E+03 +5.2565E+03 
+1.2346E+00 +2.2214E-01 +3.2168E-01 +8.4632E-01 +1.2996E-01 +7.8158E-01 +7.5000E+01 -1.7447E-02 +2.5265E-02 +1.5468E+04 +1.3091E+04 +6.7158E+03 +5.2490E+03 
+1.2553E+00 +2.2954E-01 +3.1972E-01 +8.4126E-01 +1.3043E-01 +7.8673E-01 +7.6000E+01 -1.8028E-02 +2.5112E-02 +1.5491E+04 +1.3032E+04 +6.6556E+03 +5.2361E+03 
+1.2760E+00 +2.4763E-01 +3.1599E-01 +8.3797E-01 +1.3092E-01 +7.9098E-01 +7.7000E+01 -1.9450E-02 +2.4818E-02 +1.5426E+04 +1.2927E+04 +6.6006E+03 +5.2209E+03 
+1.2966E+00 +2.7772E-01 +3.1046E-01 +8.4114E-01 +1.3303E-01 +7.9414E-01 +7.8000E+01 -2.1813E-02 +2.4384E-02 +1.5274E+04 +1.2848E+04 +6.5551E+03 +5.2057E+03 
+1.3173E+00 +3.1762E-01 +3.0363E-01 +8.5113E-01 +1.3712E-01 +7.9578E-01 +7.9000E+01 -2.4946E-02 +2.3848E-02 +1.5094E+04 +1.2847E+04 +6.5235E+03 +5.1913E+03 
+1.3380E+00 +3.6200E-01 +2.9637E-01 +8.6542E-01 +1.4077E-01 +7.9537E-01 +8.0000E+01 -2.8432E-02 +2.3277E-02 +1.4941E+04 +1.2930E+04 +6.5091E+03 +5.1771E+03 
+1.3587E+00 +4.0353E-01 +2.8973E-01 +8.7977E-01 +1.4331E-01 +7.9250E-01 +8.1000E+01 -3.1694E-02 +2.2756E-02 +1.4836E+04 +1.3052E+04 +6.5126E+03 +5.1613E+03 
+1.3793E+00 +4.3465E-01 +2.8484E-01 +8.8762E-01 +1.4628E-01 +7.8729E-01 +8.2000E+01 -3.4138E-02 +2.2372E-02 +1.4788E+04 +1.3126E+04 +6.5316E+03 +5.1423E+03 
+1.4000E+00 +4.4926E-01 +2.8272E-01 +8.8331E-01 +1.4903E-01 +7.8048E-01 +8.3000E+01 -3.5286E-02 +2.2205E-02 +1.4801E+04 +1.3074E+04 +6.5605E+03 +5.1203E+03 
+1.4207E+00 +4.4407E-01 +2.8397E-01 +8.6829E-01 +1.4825E-01 +7.7331E-01 +8.4000E+01 -3.4878E-02 +2.2304E-02 +1.4862E+04 +1.2904E+04 +6.5925E+03 +5.0980E+03 
+1.4414E+00 +4.1918E-01 +2.8849E-01 +8.5103E-01 +1.4294E-01 +7.6722E-01 +8.5000E+01 -3.2924E-02 +2.2659E-02 +1.4952E+04 +1.2725E+04 +6.6214E+03 +5.0801E+03 
+1.4621E+00 +3.7806E-01 +2.9537E-01 +8.3937E-01 +1.3615E-01 +7.6343E-01 +8.6000E+01 -2.9694E-02 +2.3199E-02 +1.5065E+04 +1.2645E+04 +6.6433E+03 +5.0717E+03 
+1.4828E+00 +3.2666E-01 +3.0318E-01 +8.3508E-01 +1.3158E-01 +7.6254E-01 +8.7000E+01 -2.5657E-02 +2.3813E-02 +1.5188E+04 +1.2683E+04 +6.6571E+03 +5.0763E+03 
+1.5035E+00 +2.7212E-01 +3.1053E-01 +8.3615E-01 +1.3119E-01 +7.6448E-01 +8.8000E+01 -2.1373E-02 +2.4389E-02 +1.5272E+04 +1.2769E+04 +6.6641E+03 +5.0946E+03 
