# Shock hugoniot for sesame material number 7361
#   fused quartz (z=10.0, a=20.028) -   2.204 - 301                                                   
# Polar curve for this state :
#   rho(g/cm3) =  2.20399400E+00
#   P(Mbar)    =  1.55551218E-05
#   T(eV)      =  2.58509263E-02
#   E(KJ/g)    =  1.51158805E-03

#R(g/cm3) P-P0(Mbar) E(KJ/g) T(eV) Us(km/s) Up(km/s) 
+2.20853347E+00 +6.19833808E-04 +1.54121563E-03 +2.58768566E-02 +3.65226921E+00 +7.50695973E-03
+4.49781350E+00 +2.51355780E-01 +2.90977012E+00 +1.47044176E-01 +4.72875591E+00 +2.41159677E+00
+4.59852715E+00 +5.02611584E-01 +5.93906572E+00 +3.67554579E-01 +6.61764206E+00 +3.44592144E+00
+4.62024239E+00 +7.53867337E-01 +8.94568649E+00 +6.40373433E-01 +8.08722210E+00 +4.22937494E+00
+4.61721911E+00 +1.00512313E+00 +1.19194988E+01 +7.86271585E-01 +9.34097897E+00 +4.88213456E+00
+4.75844369E+00 +1.25637901E+00 +1.53024499E+01 +1.08934479E+00 +1.03047209E+01 +5.53182781E+00
+4.89299044E+00 +1.50763481E+00 +1.87979716E+01 +1.27843176E+00 +1.11566216E+01 +6.13124349E+00
+5.02903147E+00 +1.75889057E+00 +2.24166845E+01 +1.33110133E+00 +1.19190696E+01 +6.69548768E+00
+5.16683128E+00 +2.01014626E+00 +2.61516569E+01 +1.28702598E+00 +1.26114547E+01 +7.23183826E+00
+5.30254629E+00 +2.26140204E+00 +2.99803436E+01 +1.21151473E+00 +1.32508889E+01 +7.74318032E+00
+5.43314053E+00 +2.51265800E+00 +3.38806580E+01 +1.14112957E+00 +1.38497436E+01 +8.23149178E+00
+5.55308367E+00 +2.76391368E+00 +3.78178137E+01 +1.10692858E+00 +1.44198098E+01 +8.69665198E+00
+5.65670615E+00 +3.01516939E+00 +4.17528384E+01 +1.13924316E+00 +1.49710119E+01 +9.13793177E+00
+5.74234782E+00 +3.26642525E+00 +4.56625873E+01 +1.24561220E+00 +1.55086588E+01 +9.55621706E+00
+5.79874584E+00 +3.51768124E+00 +4.94727543E+01 +1.42012098E+00 +1.60455518E+01 +9.94693999E+00
+5.84959479E+00 +3.76893703E+00 +5.32887948E+01 +1.60509060E+00 +1.65646276E+01 +1.03234534E+01
+5.89342471E+00 +4.02019266E+00 +5.70967306E+01 +1.81308471E+00 +1.70695307E+01 +1.06859515E+01
+5.93430539E+00 +4.27144846E+00 +6.09147272E+01 +2.02422131E+00 +1.75587661E+01 +1.10374611E+01
+5.97441274E+00 +4.52270424E+00 +6.47535771E+01 +2.22786662E+00 +1.80320857E+01 +1.13799492E+01
+6.01291041E+00 +4.77396000E+00 +6.86066243E+01 +2.42838068E+00 +1.84916269E+01 +1.17136389E+01
+6.04987076E+00 +5.02521578E+00 +7.24726207E+01 +2.62631949E+00 +1.89385554E+01 +1.20391580E+01
+6.08599092E+00 +5.27647157E+00 +7.63549066E+01 +2.82043609E+00 +1.93733183E+01 +1.23574226E+01
+6.12189662E+00 +5.52772736E+00 +8.02570601E+01 +3.00911410E+00 +1.97962837E+01 +1.26692619E+01
+6.15729845E+00 +5.77898314E+00 +8.41763398E+01 +3.19336179E+00 +2.02085381E+01 +1.29749279E+01
+6.19210435E+00 +6.03023891E+00 +8.81112933E+01 +3.37427444E+00 +2.06109042E+01 +1.32747376E+01
+6.22626495E+00 +6.28149468E+00 +9.20607512E+01 +3.55261993E+00 +2.10040911E+01 +1.35689930E+01
+6.25980080E+00 +6.53275045E+00 +9.60241044E+01 +3.72879003E+00 +2.13886779E+01 +1.38580041E+01
+6.29301974E+00 +6.78400621E+00 +1.00003253E+02 +3.90139604E+00 +2.17649183E+01 +1.41422266E+01
+6.32581757E+00 +7.03526197E+00 +1.03996774E+02 +4.07059061E+00 +2.21333976E+01 +1.44218449E+01
+6.35805065E+00 +7.28651772E+00 +1.08002808E+02 +4.23697090E+00 +2.24946961E+01 +1.46969955E+01
+6.38973892E+00 +7.53777348E+00 +1.12020903E+02 +4.40089010E+00 +2.28492035E+01 +1.49678944E+01
+6.42094295E+00 +7.78902922E+00 +1.16051022E+02 +4.56269692E+00 +2.31972372E+01 +1.52347663E+01
+6.45152310E+00 +8.04028554E+00 +1.20091279E+02 +4.72291016E+00 +2.35392737E+01 +1.54976970E+01
+6.48164195E+00 +8.29154084E+00 +1.24142629E+02 +4.88029583E+00 +2.38754744E+01 +1.57569447E+01
+6.51139945E+00 +8.54279660E+00 +1.28205594E+02 +5.03428447E+00 +2.42060389E+01 +1.60127212E+01
+6.54071463E+00 +8.79405238E+00 +1.32278909E+02 +5.18576533E+00 +2.45313141E+01 +1.62651120E+01
+6.56952715E+00 +9.04530816E+00 +1.36361474E+02 +5.33535033E+00 +2.48516093E+01 +1.65142059E+01
+6.59778854E+00 +9.29656394E+00 +1.40452282E+02 +5.48346016E+00 +2.51672050E+01 +1.67600897E+01
+6.62545613E+00 +9.54781972E+00 +1.44550357E+02 +5.63036914E+00 +2.54783608E+01 +1.70028456E+01
+6.65248967E+00 +9.79907549E+00 +1.48654739E+02 +5.77623073E+00 +2.57853198E+01 +1.72425496E+01
+6.67890270E+00 +1.00503313E+01 +1.52765046E+02 +5.92133595E+00 +2.60882602E+01 +1.74793058E+01
+6.70485888E+00 +1.03015870E+01 +1.56882643E+02 +6.06547176E+00 +2.63872037E+01 +1.77133092E+01
+6.73061904E+00 +1.05528428E+01 +1.61010161E+02 +6.20769187E+00 +2.66820661E+01 +1.79448142E+01
+6.75611136E+00 +1.08040986E+01 +1.65146501E+02 +6.34819842E+00 +2.69730730E+01 +1.81738558E+01
+6.78127038E+00 +1.10553544E+01 +1.69290590E+02 +6.48721463E+00 +2.72604353E+01 +1.84004677E+01
+6.80604808E+00 +1.13066102E+01 +1.73441529E+02 +6.62492783E+00 +2.75443390E+01 +1.86246903E+01
+6.83040911E+00 +1.15578659E+01 +1.77598544E+02 +6.76149659E+00 +2.78249498E+01 +1.88465678E+01
+6.85432726E+00 +1.18091217E+01 +1.81760961E+02 +6.89705678E+00 +2.81024180E+01 +1.90661467E+01
+6.87778269E+00 +1.20603775E+01 +1.85928171E+02 +7.03172686E+00 +2.83768807E+01 +1.92834741E+01
+6.90075896E+00 +1.23116333E+01 +1.90099612E+02 +7.16561404E+00 +2.86484660E+01 +1.94985960E+01
+6.92323983E+00 +1.25628890E+01 +1.94274703E+02 +7.29882127E+00 +2.89172958E+01 +1.97115557E+01
+6.94514093E+00 +1.28141460E+01 +1.98451982E+02 +7.43141174E+00 +2.91835547E+01 +1.99223489E+01
+6.96650071E+00 +1.30654017E+01 +2.02631528E+02 +7.56288023E+00 +2.94472988E+01 +2.01310477E+01
+6.98747976E+00 +1.33166575E+01 +2.06815180E+02 +7.69235566E+00 +2.97084638E+01 +2.03378068E+01
+7.00812148E+00 +1.35679132E+01 +2.11003251E+02 +7.82024267E+00 +2.99670936E+01 +2.05427001E+01
+7.02844939E+00 +1.38191690E+01 +2.15195814E+02 +7.94688045E+00 +3.02232476E+01 +2.07457864E+01
+7.04847883E+00 +1.40704247E+01 +2.19392845E+02 +8.07252824E+00 +3.04769891E+01 +2.09471171E+01
+7.06822068E+00 +1.43216805E+01 +2.23594273E+02 +8.19738731E+00 +3.07283823E+01 +2.11467389E+01
+7.08768324E+00 +1.45729362E+01 +2.27799997E+02 +8.32161594E+00 +3.09774908E+01 +2.13446952E+01
+7.10687315E+00 +1.48241920E+01 +2.32009904E+02 +8.44534017E+00 +3.12243762E+01 +2.15410266E+01
+7.12579606E+00 +1.50754478E+01 +2.36223873E+02 +8.56866129E+00 +3.14690987E+01 +2.17357715E+01
+7.14445690E+00 +1.53267035E+01 +2.40441779E+02 +8.69166148E+00 +3.17117160E+01 +2.19289665E+01
+7.16286016E+00 +1.55779593E+01 +2.44663497E+02 +8.81440790E+00 +3.19522837E+01 +2.21206466E+01
+7.18100999E+00 +1.58292150E+01 +2.48888903E+02 +8.93695583E+00 +3.21908556E+01 +2.23108453E+01
+7.19891031E+00 +1.60804708E+01 +2.53117872E+02 +9.05935103E+00 +3.24274829E+01 +2.24995946E+01
+7.21653588E+00 +1.63317266E+01 +2.57349832E+02 +9.18168417E+00 +3.26622441E+01 +2.26869053E+01
+7.23399286E+00 +1.65829824E+01 +2.61586275E+02 +9.30376765E+00 +3.28950845E+01 +2.28728782E+01
+7.25168852E+00 +1.68342383E+01 +2.65833585E+02 +9.42479276E+00 +3.31256470E+01 +2.30578225E+01
+7.26954855E+00 +1.70854941E+01 +2.70090625E+02 +9.54474774E+00 +3.33540513E+01 +2.32417137E+01
+7.28746938E+00 +1.73367499E+01 +2.74355730E+02 +9.66373050E+00 +3.35804454E+01 +2.34245056E+01
+7.30537531E+00 +1.75880057E+01 +2.78627629E+02 +9.78183083E+00 +3.38049483E+01 +2.36061700E+01
+7.32321023E+00 +1.78392615E+01 +2.82905330E+02 +9.89912998E+00 +3.40276578E+01 +2.37866909E+01
+7.34093212E+00 +1.80905173E+01 +2.87188045E+02 +1.00157010E+01 +3.42486564E+01 +2.39660612E+01
+7.35850924E+00 +1.83417730E+01 +2.91475134E+02 +1.01316094E+01 +3.44680151E+01 +2.41442803E+01
+7.37591747E+00 +1.85930288E+01 +2.95766071E+02 +1.02469138E+01 +3.46857959E+01 +2.43213516E+01
